p_old	p_young	t_young_kya	t_old_kya	delta_kya	noem_old_precision	noem_old_recall	noem_old_f1	noem_young_precision	noem_young_recall	noem_young_f1	em_old_precision	em_old_recall	em_old_f1	em_young_precision	em_young_recall	em_young_f1	learned_lambda_n	learned_lambda_af	learned_lambda_old	learned_lambda_young	summary_json	out_dir
0.2	0.2	35000	40000	5000	0.4343	0.5275	0.4764	0.5886	0.498	0.5395	0.4717	0.1711	0.2511	0.5809	0.8555	0.692	0.9107865834952881	0.09621914600925235	0.07113856950956757	0.03098010685357359	grid_runs/pold_0.2_pyoung_0.2_told_40000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_40000k_tyoung_35000k
0.2	0.2	40000	45000	5000	0.447	0.493	0.4688	0.6239	0.5804	0.6014	0.4549	0.2088	0.2862	0.5992	0.8242	0.6939	0.9010489468369206	0.09577399277617654	0.07505765511595654	0.031869110038980866	grid_runs/pold_0.2_pyoung_0.2_told_45000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_45000k_tyoung_40000k
0.2	0.2	45000	50000	5000	0.4894	0.4934	0.4914	0.5814	0.578	0.5797	0.5426	0.2013	0.2937	0.5631	0.8482	0.6769	0.9061207210357218	0.09827676883863189	0.09196531933113958	0.03740495061179743	grid_runs/pold_0.2_pyoung_0.2_told_50000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_50000k_tyoung_45000k
0.2	0.2	50000	55000	5000	0.4791	0.4391	0.4582	0.5736	0.6126	0.5924	0.4916	0.1931	0.2772	0.5566	0.8252	0.6648	0.9039484269198174	0.09806483118747344	0.09922649976596185	0.041589395665311266	grid_runs/pold_0.2_pyoung_0.2_told_55000k_tyoung_50000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_55000k_tyoung_50000k
0.2	0.2	30000	40000	10000	0.4309	0.7477	0.5467	0.5784	0.256	0.3549	0.4968	0.2239	0.3087	0.5802	0.8257	0.6815	0.9129031539041007	0.09622952398766665	0.0672108140263141	0.02885736163774241	grid_runs/pold_0.2_pyoung_0.2_told_40000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_40000k_tyoung_30000k
0.2	0.2	35000	45000	10000	0.4709	0.7306	0.5727	0.6759	0.4029	0.5049	0.5292	0.2706	0.3581	0.6023	0.8217	0.6951	0.9070210521425561	0.09567999084998353	0.0713397486129394	0.03155707283956408	grid_runs/pold_0.2_pyoung_0.2_told_45000k_tyoung_35000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_45000k_tyoung_35000k
0.2	0.2	40000	50000	10000	0.4683	0.676	0.5533	0.6824	0.4718	0.5579	0.5278	0.2857	0.3707	0.6211	0.8188	0.7064	0.9027816043293954	0.09534109951882552	0.07913869517857738	0.032674873121295876	grid_runs/pold_0.2_pyoung_0.2_told_50000k_tyoung_40000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_50000k_tyoung_40000k
0.2	0.2	45000	55000	10000	0.4934	0.6856	0.5739	0.6334	0.4323	0.5139	0.5845	0.1916	0.2886	0.5706	0.8799	0.6923	0.9095489355308877	0.09645116473888439	0.10538861777710694	0.03919241667671946	grid_runs/pold_0.2_pyoung_0.2_told_55000k_tyoung_45000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_55000k_tyoung_45000k
0.2	0.2	50000	60000	10000	0.4839	0.6412	0.5516	0.632	0.4469	0.5236	0.5456	0.1745	0.2645	0.5756	0.875	0.6944	0.9054205832151191	0.09686581085294867	0.11183668205020292	0.043729892343451385	grid_runs/pold_0.2_pyoung_0.2_told_60000k_tyoung_50000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_60000k_tyoung_50000k
0.2	0.2	30000	45000	15000	0.4838	0.8445	0.6151	0.696	0.2747	0.3939	0.5679	0.3795	0.455	0.5998	0.7661	0.6729	0.9044752269941841	0.09602310210315738	0.06855955446940525	0.029730360633388735	grid_runs/pold_0.2_pyoung_0.2_told_45000k_tyoung_30000k/summary.json	grid_runs/pold_0.2_pyoung_0.2_told_45000k_tyoung_30000k
